name,ticker,date,delta_n_stock,transaction_total_eur,broker
etf_eur,0P00015UOB.F,2024-10-15,7.647058823529412,100.0,abn
mercedes,MBG.DE,2024-10-15,1.0,58.322941176470586,abn
nokia,NOKIA.HE,2024-10-15,14.705882352941176,59.0,abn
bayer,BAYN.DE,2024-10-15,2.588235294117647,59.11176470588235,abn
bnp_paribas,BNP.PA,2024-10-31,1.411764705882353,89.22176470588235,abn
nifty50,XNID.L,2024-12-11,0.23529411764705882,62.50176470588235,abn
etf_eur,0P00015UOB.F,2025-02-10,2.6470588235294117,76.47058823529412,abn
bayer,BAYN.DE,2025-02-12,2.588235294117647,61.06,abn
nebius,NBIS,2025-02-19,0.8235294117647058,38.1135294117647,abn
alphabet,GOOG,2025-02-21,0.5294117647058824,104.60941176470588,abn
nokia,NOKIA.HE,2025-04-09,14.705882352941176,61.64823529411765,abn
nvidia,NVDA,2025-04-09,0.4117647058823529,48.29705882352941,abn
vaneck_def,IE000YYE6WK5.SG,2025-05-28,0.5882352941176471,27.941176470588236,abn
porsche,P911.DE,2025-05-29,1.4705882352941178,61.731764705882355,abn
vaneck_def,IE000YYE6WK5.SG,2025-06-10,0.5882352941176471,27.794117647058822,abn
alphabet,GOOG,2025-06-18,0.4117647058823529,54.40529411764706,abn
aaon,AAON,2025-07-02,0.8235294117647058,53.05882352941177,abn
vaneck_def,IE000YYE6WK5.SG,2025-07-08,0.5882352941176471,27.941176470588236,abn
etf_eur,0P00015UOB.F,2025-07-16,2.9411764705882355,32.0,abn
asml,ASML,2025-07-28,0.11764705882352941,73.20588235294117,abn
exxon_mobil,XOM,2025-07-28,0.5882352941176471,56.910000000000004,abn
capgemini,CAP.PA,2025-08-01,0.35294117647058826,44.35235294117647,abn
nifty50,XNID.L,2025-08-13,0.23529411764705882,54.317647058823525,abn
adobe,ADBE,2025-08-22,0.17647058823529413,54.70176470588235,abn
sap,SAP,2025-09-15,0.35294117647058826,77.29529411764706,abn
clover,CLOV,2025-09-16,14.705882352941176,39.144705882352945,abn
nifty50,XNID.L,2025-09-23,0.23529411764705882,54.34117647058823,abn
vaneck_space,JEDI.MI,2025-10-06,1.7647058823529411,91.46235294117646,abn
vaneck_space,JEDI.MI,2025-10-09,1.7647058823529411,111.10117647058824,abn
bnp_paribas,BNP.PA,2025-10-20,0.8235294117647058,61.45058823529412,abn
microsoft,MSFT,2025-11-06,0.5294117647058824,231.7664705882353,abn
vaneck_uranium,NUCL.L,2025-11-11,1.9411764705882353,99.49411764705883,abn
meta,META,2025-11-12,0.11764705882352941,62.34764705882353,abn
robinhood,HOOD,2025-11-24,0.6470588235294118,56.86,abn
nerdwallet,NRDS,2025-12-03,6.529411764705882,87.39882352941176,abn
aaon,AAON,2025-12-05,-0.8235294117647058,62.094117647058816,abn
ani_pharm,ANIP,2025-12-08,1.1764705882352942,83.25235294117647,abn
bayer,BAYN.DE,2025-12-23,-2.235294117647059,79.57764705882353,abn
micron,MU,2025-12-26,0.4117647058823529,86.09470588235294,abn
nvidia,NVDA,2025-12-30,0.47058823529411764,75.70117647058824,abn
exxon_mobil,XOM,2026-01-02,-0.5882352941176471,59.81647058823529,abn
first_solar,FSLR,2026-01-07,0.4117647058823529,86.97823529411765,abn
czechoslovakia_group,CSG.AS,2026-01-23,1.4705882352941178,45.54764705882353,abn
microsoft,MSFT,2026-01-29,0.058823529411764705,21.235294117647058,sc
RWE,RWE.DE,2026-01-29,0.29411764705882354,15.735294117647058,sc
taiwan_semi,TSM,2026-02-04,0.11764705882352941,31.941176470588236,sc
SAP,SAP,2026-02-06,0.17647058823529413,30.116470588235295,sc
first_solar,FSLR,2026-02-09,0.11764705882352941,21.75764705882353,sc
oracle,ORCL,2026-02-10,0.23529411764705882,31.345882352941175,sc
micron,MU,2026-02-10,0.11764705882352941,36.76470588235294,sc
broadcom,AVGO,2026-02-10,0.11764705882352941,34.0,sc
micron,MU,2026-02-17,0.11764705882352941,40.23529411764706,sc
invesco_wind,IE0008RX29L5.SG,2026-02-23,5.882352941176471,35.141176470588235,sc
capgemini,CAP.PA,2026-03-02,0.35294117647058826,37.082941176470584,sc
invesco_wind,IE0008RX29L5.SG,2026-03-03,5.882352941176471,34.029411764705884,sc
nu_holdings,NU,2026-03-11,3.235294117647059,40.906470588235294,sc
amazon,AMZN,2026-03-19,0.23529411764705882,42.34823529411764,sc
impala_platinum,IMPUY,2026-03-17,2.1176470588235294,29.223529411764705,sc
invesco_wind,IE0008RX29L5.SG,2026-03-26,3.5294117647058822,20.541176470588233,sc
amazon,AMZN,2026-03-27,0.11764705882352941,20.447058823529414,sc
microsoft,MSFT,2026-04-02,0.058823529411764705,18.570588235294117,sc
